treatment,video,song_rank,video_length,day_posted,time_posted,time_data_collected,views,likes,comments,favorites,shared,end_of_experiments,views,likes,comments,favorites,shared
C,Video #17,,0:06:00,2/27/2024,4:00 PM,5:00 PM,597,13,0,0,0,3/4/2024 20:00:00,610,14,0,0,0
C,Video #18,,0:07:00,2/27/2024,5:00 PM,6:00 PM,364,6,0,0,0,3/4/2024 20:00:00,585,11,0,0,0
T,Video #13,8,0:05:00,2/27/2024,7:00 PM,8:00 PM,2,0,0,0,0,3/4/2024 20:00:00,8,0,0,0,0
T,Video #6,3,0:06:00,2/27/2024,8:00 PM,9:00 PM,53,3,0,0,0,3/4/2024 20:00:00,551,25,0,0,0
T,Video #10,2,0:16:00,2/27/2024,9:00 PM,10:00 PM,366,25,0,0,0,3/4/2024 20:00:00,575,40,2,0,0
T,Video #30,4,0:15:00,2/28/2024,8:00 AM,9:00 AM,259,4,0,0,0,3/4/2024 20:00:00,602,16,0,0,0
C,Video #27,,0:05:00,2/28/2024,9:00 AM,10:00 AM,0,0,0,0,0,3/4/2024 20:00:00,7,0,0,0,0
C,Video #5,,0:05:00,2/28/2024,10:00 AM,11:00 AM,0,0,0,0,0,3/4/2024 20:00:00,3,0,0,0,0
T,Video #9,7,0:06:00,2/28/2024,11:00 AM,12:00 PM,0,0,0,0,0,3/4/2024 20:00:00,6,0,0,0,0
C,Video #23,,0:09:00,2/28/2024,12:00 PM,1:00 PM,0,0,0,0,0,3/4/2024 20:00:00,5,0,0,0,0
C,Video #24,,0:20:00,2/28/2024,1:00 PM,2:00 PM,1,0,0,0,0,3/4/2024 20:00:00,5,0,0,0,0
C,Video #12,,0:07:00,2/28/2024,2:00 PM,3:00 PM,5,0,0,0,0,3/4/2024 20:00:00,8,0,0,0,0
T,Video #1,10,0:16:00,2/28/2024,3:00 PM,4:00 PM,0,0,0,0,0,3/4/2024 20:00:00,2,0,0,0,0
C,Video #11,,0:04:00,2/28/2024,4:00 PM,5:00 PM,0,0,0,0,0,3/4/2024 20:00:00,5,0,0,0,0
C,Video #9,,0:06:00,2/28/2024,5:00 PM,6:00 PM,0,0,0,0,0,3/4/2024 20:00:00,2,0,0,0,0
C,Video #10,,0:16:00,2/28/2024,6:00 PM,7:00 PM,0,0,0,0,0,3/4/2024 20:00:00,2,0,0,0,0
C,Video #19,,0:07:00,2/28/2024,7:00 PM,8:00 PM,0,0,0,0,0,3/4/2024 20:00:00,6,0,0,0,0
T,Video #12,5,0:07:00,2/29/2024,8:00 AM,9:00 AM,2,0,0,0,0,3/4/2024 20:00:00,8,0,0,0,0
C,Video #14,,0:07:00,2/29/2024,10:00 AM,11:00 AM,4,0,0,0,0,3/4/2024 20:00:00,5,0,0,0,0
T,Video #7,5,0:11:00,2/29/2024,11:00 AM,12:00 PM,3,0,0,0,0,3/4/2024 20:00:00,4,0,0,0,0
C,Video #28,,0:23:00,2/29/2024,12:00 PM,1:00 PM,2,0,0,0,0,3/4/2024 20:00:00,2,0,0,0,0
C,Video #25,,0:04:00,2/29/2024,1:00 PM,2:00 PM,1,0,0,0,0,3/4/2024 20:00:00,2,0,0,0,0
C,Video #20,,0:14:00,2/29/2024,2:00 PM,3:00 PM,0,0,0,0,0,3/4/2024 20:00:00,2,0,0,0,0
C,Video #7,,0:11:00,2/29/2024,3:00 PM,4:00 PM,2,0,0,0,0,3/4/2024 20:00:00,4,0,0,0,0
T,Video #8,10,0:05:00,2/29/2024,4:00 PM,5:00 PM,0,0,0,0,0,3/4/2024 20:00:00,12,0,0,0,0
T,Video #24,1,0:20:00,2/29/2024,5:00 PM,6:00 PM,4,1,0,0,0,3/4/2024 20:00:00,14,1,0,0,0
C,Video #26,,0:09:00,2/29/2024,6:00 PM,7:00 PM,4,0,0,0,0,3/4/2024 20:00:00,9,0,0,0,0
C,Video #21,,0:07:00,2/29/2024,7:00 PM,8:00 PM,0,0,0,0,0,3/4/2024 20:00:00,5,0,0,0,0
C,Video #15,,0:07:00,2/29/2024,8:00 PM,9:00 PM,0,0,0,0,0,3/4/2024 20:00:00,7,0,0,0,0
T,Video #17,1,0:06:00,3/1/2024,11:00 AM,12:00 PM,0,0,0,0,0,3/4/2024 20:00:00,7,0,0,0,0
C,Video #22,,0:14:00,3/1/2024,12:00 PM,1:00 PM,0,0,0,0,0,3/4/2024 20:00:00,4,0,0,0,0
C,Video #3,,0:05:00,3/1/2024,1:00 PM,2:00 PM,1,0,0,0,0,3/4/2024 20:00:00,4,0,0,0,0
T,Video #21,5,0:07:00,3/1/2024,2:00 PM,3:00 PM,5,0,0,0,0,3/4/2024 20:00:00,6,1,0,0,0
C,Video #29,,0:09:00,3/1/2024,3:00 PM,4:00 PM,1,0,0,0,0,3/4/2024 20:00:00,1,0,0,0,0
T,Video #5,8,0:05:00,3/1/2024,4:00 PM,5:00 PM,0,0,0,0,0,3/4/2024 20:00:00,2,0,0,0,0
T,Video #26,7,0:09:00,3/1/2024,5:00 PM,6:00 PM,1,0,0,0,0,3/4/2024 20:00:00,4,1,0,0,0
T,Video #11,8,0:04:00,3/1/2024,6:00 PM,7:00 PM,2,0,0,0,0,3/4/2024 20:00:00,2,1,0,0,0
T,Video #4,8,0:14:00,3/1/2024,7:00 PM,8:00 PM,4,1,0,0,0,3/4/2024 20:00:00,4,1,0,0,0
C,Video #16,,0:14:00,3/1/2024,8:00 PM,9:00 PM,2,1,0,0,0,3/4/2024 20:00:00,2,1,0,0,0
T,Video #3,4,0:05:00,3/1/2024,9:00 PM,10:00 PM,1,1,0,0,0,3/4/2024 20:00:00,1,1,0,0,0
C,Video #8,,0:05:00,3/1/2024,10:00 PM,11:00 PM,0,0,0,0,0,3/4/2024 20:00:00,1,0,0,0,0
